UTC time, Altitude (m MSL), Altitude (m AGL), Pressure (Pascal), Speed (m/s), Heading (degrees), Temperature (C), Relative humidity (%), Internal temperature (C), Latitude, Longitude, Rise speed (m/s)
16:09:22, 210, 1, 98802, 0.55, 193.10, 28.25, 36.00, 33.00, 41.465158, 1.936343, 0
16:09:23, 212, 3, 98775, 1.30, 226.50, 28.12, 35.90,  ,  ,  , 0.2
16:09:24, 214, 5, 98748, 2.00, 313.10, 27.94, 35.75,  ,  ,  , 0.4
16:09:25, 217, 8, 98722, 2.10, 258.60, 27.79, 35.45,  , 41.465172, 1.936332, 0.6
16:09:26, 218, 9, 98703, 2.35, 70.90, 27.57, 35.35,  ,  ,  , 0.8
16:09:27, 220, 11, 98685, 1.40, 338.20, 27.42, 35.50,  ,  ,  , 0.9
16:09:28, 222, 13, 98668, 4.30, 339.90, 27.23, 35.60,  , 41.465225, 1.936322, 1.0
16:09:29, 224, 15, 98645, 1.65, 310.40, 27.08, 35.80,  ,  ,  , 1.1
16:09:30, 226, 17, 98622, 2.00, 304.40, 26.97, 36.00,  ,  ,  , 1.2
16:09:31, 228, 19, 98600, 3.85, 306.20, 26.87, 36.20,  , 41.465257, 1.936235, 1.4
16:09:33, 232, 23, 98551, 3.80, 281.40, 26.72, 36.60,  ,  ,  , 1.9
16:09:34, 234, 25, 98528, 4.35, 297.40, 26.68, 36.85,  , 41.465293, 1.936097, 2.1
16:09:35, 237, 28, 98496, 4.85, 300.90, 26.68, 37.10,  ,  ,  , 2.1
16:09:36, 240, 31, 98464, 4.75, 309.30, 26.69, 37.40,  ,  ,  , 2.2
16:09:37, 243, 34, 98432, 5.55, 304.80, 26.67, 37.55,  , 41.465372, 1.935955, 2.2
16:09:38, 247, 38, 98385, 4.15, 298.70, 26.64, 37.60,  ,  ,  , 2.4
16:09:39, 251, 42, 98340, 5.60, 281.30, 26.63, 37.70,  ,  ,  , 2.6
16:09:40, 255, 46, 98296, 5.50, 291.20, 26.63, 37.85,  , 41.465418, 1.935795, 2.8
16:09:41, 259, 50, 98258, 5.50, 291.20, 26.62, 37.95,  ,  ,  , 2.8
16:09:42, 262, 53, 98220, 6.60, 292.10, 26.59, 38.05,  ,  ,  , 2.9
16:09:43, 265, 56, 98182, 4.90, 306.60, 26.58, 38.20,  , 41.465488, 1.935632, 3.1
