# Radiation correction v2.3. Params: lat=41.4534, lon=1.9437, utc_time=2021-07-13 18:25
Height (m AGL), Pressure (mb), Temperature (C), Relative humidity (%), Wind speed (m/s), Wind direction (true deg)
20, 994.28, 28.27, 31.4, 6.43, 115.9
40, 992.04, 26.71, 33.8, 6.85, 119.6
60, 989.80, 26.28, 34.7, 6.84, 124.6
80, 987.57, 26.01, 35.3, 6.64, 129.6
100, 985.33, 25.81, 35.8, 6.19, 135.8
120, 983.10, 25.67, 36.0, 5.20, 137.3
140, 980.88, 25.53, 36.3, 4.21, 133.5
160, 978.66, 25.38, 36.5, 3.63, 125.8
180, 976.44, 25.24, 36.8, 3.70, 121.5
200, 974.22, 25.11, 37.0, 3.80, 115.6
220, 972.01, 25.00, 37.3, 3.98, 112.1
240, 969.81, 24.78, 37.7, 4.18, 116.6
260, 967.61, 24.54, 38.0, 4.36, 117.7
280, 965.41, 24.36, 38.2, 4.24, 115.8
300, 963.21, 24.20, 38.4, 4.22, 114.3
320, 961.02, 23.98, 38.6, 4.07, 113.1
340, 958.83, 23.75, 38.9, 3.89, 109.2
360, 956.65, 23.54, 39.1, 3.56, 108.4
380, 954.46, 23.32, 39.3, 3.26, 107.6
400, 952.28, 23.16, 39.4, 2.79, 107.9
420, 950.11, 22.97, 39.5, 2.50, 111.2
440, 947.94, 22.79, 39.7, 2.12, 119.1
460, 945.77, 22.62, 39.9, 1.74, 127.6
480, 943.61, 22.44, 40.2, 1.48, 136.8
500, 941.45, 22.32, 40.5, 1.40, 142.1
520, 939.29, 22.14, 40.8, 1.22, 148.9
540, 937.14, 21.95, 41.2, 1.25, 156.2
560, 934.99, 21.76, 41.5, 1.37, 163.7
580, 932.84, 21.59, 41.8, 1.59, 162.6
600, 930.70, 21.36, 42.3, 1.85, 145.8
620, 928.56, 21.16, 42.6, 2.27, 123.2
640, 926.43, 21.01, 42.9, 2.40, 104.1
660, 924.30, 20.82, 43.3, 2.40, 98.4
680, 922.17, 20.63, 43.7, 2.42, 105.4
700, 920.04, 20.47, 44.0, 2.32, 104.1
720, 917.92, 20.21, 44.5, 2.34, 90.1
740, 915.80, 20.01, 44.9, 2.35, 79.5
760, 913.69, 19.88, 45.2, 2.45, 75.0
780, 911.58, 19.70, 45.6, 2.55, 66.2
800, 909.47, 19.53, 46.0, 2.69, 57.2
820, 907.37, 19.36, 46.3, 2.89, 50.3
840, 905.27, 19.18, 46.6, 3.14, 44.7
860, 903.18, 18.96, 47.1, 3.41, 43.4
880, 901.08, 18.79, 47.4, 3.72, 43.7
900, 899.00, 18.63, 47.8, 4.08, 45.3
920, 896.91, 18.42, 48.3, 4.41, 47.2
940, 894.83, 18.22, 48.8, 4.52, 51.7
960, 892.75, 18.01, 49.3, 4.48, 53.0
980, 890.67, 17.78, 49.8, 4.34, 52.1
1000, 888.60, 17.49, 50.5, 4.14, 53.2
1020, 886.53, 17.25, 51.2, 3.95, 57.0
1040, 884.47, 17.06, 51.7, 3.85, 59.3
1060, 882.40, 16.85, 52.3, 3.94, 58.3
1080, 880.35, 16.64, 52.8, 4.19, 56.4
1100, 878.29, 16.48, 53.2, 4.59, 53.6
1120, 876.24, 16.30, 53.7, 4.89, 52.8
1140, 874.19, 16.10, 54.1, 4.98, 52.0
1160, 872.14, 15.91, 54.5, 4.88, 53.7
1180, 870.10, 15.71, 54.9, 4.43, 59.5
1200, 868.06, 15.58, 54.8, 3.33, 61.8
1220, 866.03, 15.45, 54.4, 1.97, 90.9
1240, 864.00, 15.28, 54.2, 1.29, 109.9
1260, 861.97, 15.14, 54.5, 0.93, 102.2
1280, 859.95, 14.97, 55.0, 1.04, 91.3
1300, 857.93, 14.79, 55.5, 1.55, 95.5
1320, 855.91, 14.64, 55.9, 2.58, 94.4
1340, 853.90, 14.41, 56.8, 3.24, 80.6
1360, 851.89, 14.20, 57.6, 3.72, 67.2
1380, 849.88, 14.07, 58.1, 3.99, 61.2
1400, 847.88, 13.92, 58.5, 3.97, 59.2
1420, 845.88, 13.81, 58.7, 3.57, 58.6
1440, 843.89, 13.68, 58.9, 3.57, 60.9
1460, 841.90, 13.58, 59.0, 3.68, 68.3
1480, 839.91, 13.45, 59.2, 4.00, 66.2
1500, 837.92, 13.29, 59.5, 4.39, 56.4
1520, 835.94, 13.20, 59.3, 4.42, 48.6
1540, 833.97, 13.11, 59.0, 4.10, 39.9
1560, 832.00, 13.03, 58.9, 3.82, 30.3
1580, 830.03, 12.92, 59.0, 3.44, 23.3
1600, 828.07, 12.72, 59.3, 3.14, 35.0
1620, 826.11, 12.52, 59.5, 2.78, 43.2
1640, 824.15, 12.40, 59.8, 2.34, 48.2
1660, 822.20, 12.26, 60.3, 2.13, 43.7
1680, 820.25, 12.13, 60.8, 1.85, 29.7
1700, 818.30, 11.85, 61.7, 1.86, 17.9
1720, 816.35, 11.50, 62.7, 2.01, 27.3
1740, 814.41, 11.29, 63.4, 2.30, 38.8
1760, 812.48, 11.10, 64.1, 2.45, 34.8
1780, 810.54, 10.88, 65.0, 2.59, 21.7
1800, 808.61, 10.67, 65.9, 2.65, 12.2
1820, 806.68, 10.46, 66.8, 2.51, 20.3
1840, 804.75, 10.17, 67.9, 2.35, 43.1
1860, 802.83, 10.02, 68.5, 2.01, 50.4
1880, 800.91, 9.90, 68.9, 1.67, 53.8
1900, 799.00, 9.75, 69.4, 1.37, 61.4
1920, 797.09, 9.53, 70.1, 1.30, 58.9
1940, 795.18, 9.28, 70.7, 1.48, 55.2
1960, 793.27, 9.14, 71.0, 2.11, 42.7
1980, 791.37, 8.94, 71.6, 2.73, 22.7
2000, 789.47, 8.75, 72.4, 3.28, 5.4
2020, 787.58, 8.64, 73.0, 3.84, 357.4
2040, 785.68, 8.40, 74.4, 4.14, 353.7
2060, 783.79, 8.21, 75.6, 4.36, 354.6
2080, 781.91, 8.02, 76.3, 4.43, 357.9
2100, 780.03, 7.77, 77.1, 4.50, 359.1
2120, 778.15, 7.61, 77.7, 4.67, 358.6
2140, 776.27, 7.39, 79.0, 4.82, 3.5
2160, 774.40, 7.29, 80.2, 5.07, 2.3
2180, 772.53, 7.25, 81.2, 5.22, 358.2
2200, 770.67, 7.14, 82.3, 5.54, 1.1
2220, 768.80, 6.89, 83.8, 5.58, 13.5
2240, 766.95, 6.74, 84.8, 5.62, 13.9
2260, 765.09, 6.64, 85.6, 5.71, 10.3
2280, 763.24, 6.48, 86.7, 5.88, 10.0
2300, 761.39, 6.27, 87.8, 6.08, 11.3
2320, 759.55, 6.13, 88.4, 6.20, 11.4
2340, 757.71, 5.91, 89.2, 6.27, 10.5
2360, 755.87, 5.69, 89.7, 6.26, 8.1
2380, 754.04, 5.51, 90.1, 6.35, 5.8
2400, 752.21, 5.24, 90.8, 6.14, 4.9
2420, 750.38, 5.12, 91.7, 5.68, 0.2
2440, 748.55, 5.01, 92.4, 5.78, 1.6
2460, 746.73, 4.90, 93.1, 6.01, 4.9
2480, 744.91, 4.78, 93.4, 6.16, 6.3
2500, 743.10, 4.66, 93.6, 6.41, 6.7
2520, 741.29, 4.49, 93.8, 6.57, 7.1
2540, 739.48, 4.33, 94.1, 6.71, 7.3
2560, 737.68, 4.20, 94.3, 6.79, 7.2
2580, 735.88, 4.01, 94.5, 6.90, 6.8
2600, 734.08, 3.85, 94.6, 6.94, 6.5
2620, 732.29, 3.73, 94.9, 7.05, 6.2
2640, 730.50, 3.62, 95.1, 7.19, 4.5
2660, 728.71, 3.55, 95.2, 7.21, 358.5
2680, 726.93, 3.40, 95.3, 7.22, 347.2
