timestamp,msl,agl,pressure,latitude,longitude,speed,heading,temperature,relative_humidity,internal_temperature,rise_speed
"2024-11-05 15:29:48",-14,-117,91942,41.173002,0.22965,7,336.9,22.03,39.15,,1
"2024-11-05 15:29:56",-5,-108,91842,0,,8.95,322.3,22.28,39.95,,0.8
"2024-11-05 15:29:57",-4,-107,91830,41.173538,0.229097,7.9,326.7,22.29,40.1,,0.8
"2024-11-05 15:30:00",4,-98,91744,41.173727,0.228967,8.45,330.4,22.35,40.4,,1.6
"2024-11-05 15:30:07",29,-73,91480,0,,8.55,337.5,22.26,40.75,,2.3
"2024-11-05 15:30:08",32,-70,91443,0,,9.9,324.5,22.21,40.8,,2.4
"2024-11-05 15:30:09",36,-66,91406,41.174362,0.228452,7.95,336.8,22.19,40.85,,3.2
"2024-11-05 15:30:11",43,-59,91330,0,,11.15,328.6,22.13,40.95,,3.4
"2024-11-05 15:30:12",47,-55,91292,41.174582,0.228313,7.5,349.8,22.09,40.9,,3.6
"2024-11-05 15:30:21",85,-17,90894,41.175298,0.228035,7.8,10,21.31,41.5,,4.1
"2024-11-05 15:30:24",94,-8,90800,41.175593,0.227998,10.6,7.1,21.25,41.15,,3.9
"2024-11-05 15:30:32",97,-5,90769,0,,10.95,335.7,21.5,40.8,,2.5
"2024-11-05 15:30:33",97,-5,90766,41.176427,0.227813,9.7,350.2,21.53,40.9,30,2.4
"2024-11-05 15:30:36",100,-2,90734,41.176697,0.22774,9.3,341.2,21.55,41.15,,0.5
"2024-11-05 15:30:42",103,0,90708,0,,,,21.55,41,,0.5
"2024-11-05 15:30:49",106,3,90669,0,,,,21.61,40.85,,0.5
"2024-11-05 15:30:50",107,4,90663,0,,,,21.61,40.8,,0.5
"2024-11-05 15:30:51",107,4,90658,0,,,,21.62,40.8,,0.5
"2024-11-05 15:31:01",120,17,90523,0,,,,21.47,39.15,,1
"2024-11-05 15:31:02",122,19,90509,0,,,,21.47,39.1,,1.2
"2024-11-05 15:31:03",123,20,90496,0,,,,21.46,38.85,,1.3
"2024-11-05 15:31:13",150,47,90212,0,,,,21.25,36.2,,2
"2024-11-05 15:31:14",153,50,90183,0,,,,21.31,36.2,,2.6
"2024-11-05 15:31:15",156,53,90154,0,,,,21.32,36.25,,2.7
"2024-11-05 15:31:25",184,81,89865,0,,8,353.3,21.24,34.6,,2.6
"2024-11-05 15:31:26",186,83,89838,41.182112,0.227177,6.95,319.7,21.19,34.65,,2.6
"2024-11-05 15:31:39",219,116,89498,41.182855,0.22661,6.75,312.6,21.08,34.8,,2.7
"2024-11-05 15:31:42",227,124,89422,41.182988,0.226472,6.3,4.7,21.03,34.55,,2.6
"2024-11-05 15:31:51",254,151,89146,41.183372,0.226172,5.2,348.6,20.58,33.95,,2.8
"2024-11-05 15:31:53",259,156,89093,0,,6.1,349.3,20.56,34,,2.8
"2024-11-05 15:31:54",261,158,89068,41.183512,0.226085,5.65,316.4,20.53,34.05,,2.8
"2024-11-05 15:32:02",286,183,88810,0,,6.4,354.1,20.58,33.9,,3
"2024-11-05 15:32:03",289,186,88778,41.183888,0.225808,4.35,297,20.63,33.85,,3
"2024-11-05 15:32:05",298,195,88687,0,,5.85,326.5,20.58,33.75,,3.2
"2024-11-05 15:32:06",303,200,88642,41.183998,0.22572,4.7,333,20.56,33.7,,3.4
"2024-11-05 15:32:15",337,234,88292,41.184407,0.225423,7.2,324.9,20.58,32.5,,4
"2024-11-05 15:32:18",348,245,88180,41.182273,0.225537,6.2,346.1,20.58,32.15,,3.8
"2024-11-05 15:32:25",379,276,87862,0,,,,20.26,31.7,,4
"2024-11-05 15:32:26",384,281,87817,0,,,,20.18,31.65,,4
"2024-11-05 15:32:27",388,285,87772,0,,,,20.16,31.65,32.5,4.1
"2024-11-05 15:32:29",397,294,87684,0,,3.45,321.9,19.99,31.6,,4.3
"2024-11-05 15:32:30",401,298,87640,41.182783,0.225003,8.85,327.7,19.88,31.65,,4.3
"2024-11-05 15:32:39",439,336,87256,41.183182,0.2246,4.25,294.5,19.57,31.8,,4.3
"2024-11-05 15:32:51",487,384,86770,41.183703,0.224043,4.55,322.6,19.45,31.3,,4
"2024-11-05 15:32:53",493,390,86708,0,,5.85,327.5,19.42,30.95,,3.9
"2024-11-05 15:32:54",497,394,86676,41.183822,0.223905,5.2,308.5,19.45,30.85,32.5,3.8
"2024-11-05 15:33:02",525,422,86391,0,,3.3,339.2,19.28,30.8,,3.7
"2024-11-05 15:33:03",528,425,86356,41.184197,0.223498,8,316,19.22,30.8,,3.7
"2024-11-05 15:33:05",535,432,86292,0,,8.3,317.9,19.16,30.9,,3.4
"2024-11-05 15:33:06",538,435,86260,41.184308,0.223373,2.3,316.7,19.18,30.95,,3.4
"2024-11-05 15:33:15",568,465,85962,41.184653,0.222995,6.5,303.9,19.27,30.95,,3.3
"2024-11-05 15:33:18",578,475,85858,41.184767,0.222873,3.75,338.7,19.28,30.9,,3.4
"2024-11-05 15:33:26",606,503,85587,0,,4.65,288.1,19.18,30.75,,3.3
"2024-11-05 15:33:27",609,506,85554,41.185088,0.222515,6.5,325.4,19.27,30.8,,3.4
"2024-11-05 15:33:29",612,509,85521,0,,6.9,311.7,19.28,30.8,,3.1
"2024-11-05 15:33:30",614,511,85506,41.18519,0.222398,3.15,341.8,19.23,30.8,,2.9
"2024-11-05 15:33:39",649,546,85158,41.185483,0.222077,6.5,307.1,18.77,30.95,,3.4
"2024-11-05 15:33:42",660,557,85052,41.18557,0.221962,2.4,2.3,18.58,31.15,,3.7
"2024-11-05 15:33:51",686,583,84788,41.185817,0.221617,6.35,301.6,18.14,31.7,,3.1
"2024-11-05 15:33:54",694,591,84708,41.185895,0.221508,4.4,342.7,17.95,31.75,,2.9
"2024-11-05 15:34:02",714,611,84516,0,,6.05,321.9,17.72,31.9,,2.7
"2024-11-05 15:34:03",716,613,84492,41.186122,0.22124,1.55,312.1,17.73,31.95,,2.7
"2024-11-05 15:34:05",720,617,84456,0,,1.45,278.6,17.67,32.05,,2.4
"2024-11-05 15:34:06",722,619,84438,41.186203,0.221152,5.95,330.2,17.66,32.05,,2.4
"2024-11-05 15:34:15",745,642,84214,41.186437,0.220873,2.55,353,17.65,32.25,32.75,2.4
"2024-11-05 15:34:18",747,644,84188,41.186515,0.220792,3.55,324.4,17.66,32.25,,2.1
"2024-11-05 15:34:26",767,664,83994,0,,2.5,1,17.36,32.2,,2.3
"2024-11-05 15:34:27",769,666,83970,41.186752,0.220528,6.2,300.8,17.29,32.2,,2.1
"2024-11-05 15:34:39",798,695,83686,41.187077,0.22014,6.85,329.5,16.68,33.1,,2.4
"2024-11-05 15:34:42",804,701,83634,41.187162,0.220033,3.6,276.7,16.64,33.25,32.75,2.3
"2024-11-05 15:34:54",828,725,83398,41.187483,0.219623,5.75,290.5,16.57,33.65,,2
"2024-11-05 15:35:02",843,740,83250,0,,4.8,290,16.92,34.4,,2
"2024-11-05 15:35:03",845,742,83232,41.187722,0.219303,4.15,334.8,16.85,34.4,,2
"2024-11-05 15:35:05",847,744,83215,0,,3.4,319.6,16.81,34.4,,1.9
"2024-11-05 15:35:06",847,744,83208,41.1878,0.219202,4.9,319.7,16.76,34.45,,1.6
"2024-11-05 15:35:15",867,764,83016,41.188032,0.21884,5.9,308.9,16.88,34.65,,1.8
"2024-11-05 15:35:26",884,781,82850,0,,1.85,322.4,16.84,34.9,,1.8
"2024-11-05 15:35:27",886,783,82836,41.188368,0.218358,7.45,316.2,16.87,34.95,,1.5
"2024-11-05 15:35:29",886,783,82828,0,,7.6,323.8,16.89,35.05,,1.4
"2024-11-05 15:35:30",887,784,82824,41.188465,0.218245,2.55,296.4,16.84,35.05,,1.3
"2024-11-05 15:35:39",906,803,82640,41.188767,0.217922,5.6,340.6,16.36,35.45,,1.7
"2024-11-05 15:35:42",911,808,82594,41.188878,0.217818,4.3,314.5,16.56,35.9,,2
"2024-11-05 15:35:51",925,822,82456,41.189213,0.217493,3.7,339.5,16.7,35.95,,1.6
"2024-11-05 15:35:53",928,825,82422,0,,3.4,338.8,16.51,35.85,,1.6
"2024-11-05 15:35:54",930,827,82406,41.189325,0.217387,7.25,313.1,16.42,35.8,,1.6
"2024-11-05 15:36:02",943,840,82278,0,,4.95,323.6,16.25,35.75,,1.6
"2024-11-05 15:36:03",945,842,82262,41.189643,0.217052,4.2,315.8,16.27,35.7,32.25,1.6
"2024-11-05 15:36:05",948,845,82231,0,,2.6,311.8,16.33,35.65,,1.7
"2024-11-05 15:36:06",950,847,82216,41.189752,0.216945,7.6,326.3,16.34,35.7,,1.7
"2024-11-05 15:36:15",960,857,82116,41.190085,0.216613,6.65,305.1,16.02,36.85,,1.2
"2024-11-05 15:36:18",968,865,82036,41.190205,0.2165,5.55,337.4,15.97,37.2,,1.6
"2024-11-05 15:36:26",980,877,81923,0,,5.55,308.4,16.02,37.75,,1.5
"2024-11-05 15:36:27",981,878,81910,41.190562,0.216178,5.2,345.1,16,37.8,,1.8
"2024-11-05 15:36:42",1007,904,81668,41.191135,0.215667,5.8,335.7,16.02,38.35,,1.7
"2024-11-05 15:36:53",1025,922,81497,0,,7.95,312.8,16.29,37.85,,1.7
