timestamp,msl,agl,pressure,latitude,longitude,speed,heading,temperature,relative_humidity,internal_temperature,rise_speed
"2026-05-06 17:14:37",707,3,92560,38.138577,23.768135,23.2,204.7,24.28,36.85,,0
"2026-05-06 17:14:38",707,3,92559,0,,20.5,198.2,24.3,36.85,,0
"2026-05-06 17:14:39",707,3,92558,0,,24,202.1,24.32,36.85,,0
"2026-05-06 17:14:40",707,3,92558,38.138022,23.76787,20.6,199.4,24.33,36.85,,0
"2026-05-06 17:14:41",708,4,92542,0,,21.3,202.1,24.35,36.85,,0.1
"2026-05-06 17:14:42",710,6,92527,0,,22.15,198.3,24.37,36.85,,0.3
"2026-05-06 17:14:43",711,7,92512,38.137455,23.767628,23.35,196.7,24.4,36.8,,0.4
"2026-05-06 17:14:44",712,8,92499,0,,20.75,198.7,24.42,36.8,,0.5
"2026-05-06 17:14:45",714,10,92487,0,,20.75,198.7,24.46,36.75,,0.5
"2026-05-06 17:14:46",715,11,92476,38.1369,23.767363,22.2,205.7,24.49,36.75,,0.6
"2026-05-06 17:14:47",717,13,92454,0,,22,198.8,24.52,36.75,,0.7
"2026-05-06 17:14:48",719,15,92431,0,,21.3,199.2,24.54,36.7,,0.8
"2026-05-06 17:14:49",721,17,92408,38.136362,23.767148,19.15,192.8,24.58,36.65,,0.9
"2026-05-06 17:14:51",724,20,92379,0,,18.95,196.5,24.67,36.55,,1.4
"2026-05-06 17:14:52",725,21,92366,38.135823,23.76691,22.45,200.2,24.67,36.5,27,1.5
"2026-05-06 17:14:54",728,24,92337,0,,23.5,196.6,24.67,36.35,,1.5
"2026-05-06 17:14:55",729,25,92324,38.13527,23.766665,19.35,200.6,24.68,36.35,,1.5
"2026-05-06 17:14:56",731,27,92308,0,,23.85,201.1,24.68,36.25,,1.5
"2026-05-06 17:14:57",732,28,92292,0,,19.25,197.8,24.7,36.25,,1.5
"2026-05-06 17:14:58",734,30,92276,38.13473,23.766425,21.95,202,24.77,36.2,,1.6
"2026-05-06 17:14:59",735,31,92263,0,,21.45,196.5,24.81,36.15,,1.5
"2026-05-06 17:15:00",736,32,92250,0,,21.65,199.1,24.83,36.15,,1.4
"2026-05-06 17:15:01",737,33,92238,38.134187,23.76619,19.95,198.9,24.85,36.1,,1.3
"2026-05-06 17:15:03",738,34,92227,0,,20.65,194.6,24.91,36.05,,1.2
"2026-05-06 17:15:04",739,35,92222,38.133633,23.765932,22.45,204.4,24.93,36,,1.1
"2026-05-06 17:15:07",743,39,92174,38.133077,23.765678,22,205.4,24.99,35.9,,1.2
"2026-05-06 17:15:09",744,40,92171,0,,22.65,202.3,25.05,35.8,,1
"2026-05-06 17:15:10",744,40,92170,38.132497,23.765425,22.4,193.7,25.07,35.75,,0.8
"2026-05-06 17:15:12",749,45,92119,0,,23.65,204.7,25.1,35.7,,1
"2026-05-06 17:15:13",751,47,92094,38.131945,23.76517,21.65,204.7,25.12,35.65,,1.1
"2026-05-06 17:15:15",754,50,92064,0,,22.35,202.2,25.15,35.6,,1.2
"2026-05-06 17:15:16",755,51,92050,38.131377,23.764927,21.75,192.6,25.17,35.55,,1.3
"2026-05-06 17:15:18",757,53,92030,0,,21.1,201.1,25.2,35.5,,1.3
"2026-05-06 17:15:19",758,54,92020,38.130808,23.764635,24.25,202,25.21,35.45,27.5,1.2
"2026-05-06 17:15:21",760,56,92003,0,,23.5,204.8,25.23,35.4,,1.3
"2026-05-06 17:15:22",761,57,91996,38.130252,23.764342,20,199.5,25.24,35.4,,1.4
"2026-05-06 17:15:23",762,58,91981,0,,25.85,203.7,25.25,35.35,,1.4
"2026-05-06 17:15:24",763,59,91966,0,,,204.4,25.25,35.35,,1.4
