timestamp,msl,agl,pressure,latitude,longitude,speed,heading,temperature,relative_humidity,internal_temperature,rise_speed
"2026-04-07 15:22:49",568,-2,95858,41.212738,0.730668,10.95,305,38.76,25,,-0.9
"2026-04-07 15:22:51",569,-1,95849,0,,5.25,310,39.02,24.65,,-0.7
"2026-04-07 15:22:52",569,-1,95846,41.212887,0.73056,6.9,347.8,39.07,24.5,,-0.5
"2026-04-07 15:22:54",571,0,95826,0,,,,38.92,24.2,,-0.2
"2026-04-07 15:22:55",572,1,95816,0,,,,38.7,24.1,,-0.1
"2026-04-07 15:22:57",580,9,95737,0,,6.35,313,38.17,24.1,,0.4
"2026-04-07 15:22:58",583,12,95698,41.213147,0.730257,5.3,287.7,37.62,24.05,,0.9
"2026-04-07 15:23:00",593,22,95598,0,,9.85,308.8,36.83,24.8,,2
"2026-04-07 15:23:01",598,27,95550,41.213235,0.730072,6.8,282.7,36.47,25.1,44,2.4
"2026-04-07 15:23:03",604,33,95480,0,,6.35,284.5,35.43,25.8,,2.6
"2026-04-07 15:23:04",608,37,95446,41.21329,0.72986,6.2,282.4,35.11,26.2,,3
"2026-04-07 15:23:05",610,39,95424,0,,7.7,268.9,34.82,26.6,,3.1
"2026-04-07 15:23:06",612,41,95402,0,,7.7,268.9,34.34,26.95,,3
"2026-04-07 15:23:07",614,43,95380,41.213325,0.729602,7.55,299.4,33.89,27.35,,3.3
"2026-04-07 15:23:08",616,45,95359,0,,9.75,288.8,33.51,27.85,,3.4
"2026-04-07 15:23:09",618,47,95339,0,,8.2,288,33.14,28.35,,3.2
"2026-04-07 15:23:10",620,49,95320,41.213408,0.729318,8.35,301.6,32.89,28.85,,3
"2026-04-07 15:23:12",627,56,95242,0,,8.1,268.3,32.42,29.7,,2.8
"2026-04-07 15:23:13",631,60,95204,41.213417,0.729045,7.75,270.3,32.34,30.15,,2.7
"2026-04-07 15:23:14",633,62,95178,0,,5.15,272.9,32.23,30.5,,2.7
"2026-04-07 15:23:15",636,65,95151,0,,7.45,292.8,32.2,30.7,,2.7
"2026-04-07 15:23:16",638,67,95124,41.213437,0.728768,9.85,274.9,32.2,30.95,,2.6
"2026-04-07 15:23:17",639,68,95112,0,,,,32.2,31.05,,2.5
"2026-04-07 15:23:18",640,69,95101,0,,,,32.18,31.05,,2.4
"2026-04-07 15:23:19",641,70,95090,0,,,,32.09,31.15,,2.3
"2026-04-07 15:23:23",652,81,94978,0,,5.3,247.2,31.68,31.55,,2.5
"2026-04-07 15:23:24",655,84,94950,0,,8.45,284.2,31.62,31.65,,2.5
"2026-04-07 15:23:25",657,86,94922,41.213508,0.728018,8.55,267.1,31.57,31.8,,2.3
"2026-04-07 15:23:27",664,93,94854,0,,6.25,294.9,31.47,32,,2.3
"2026-04-07 15:23:28",667,96,94822,41.213568,0.727823,6.8,290.4,31.47,32.1,43.5,2.4
"2026-04-07 15:23:29",672,101,94769,0,,6.75,290.4,31.47,32.25,,2.6
"2026-04-07 15:23:30",677,106,94713,0,,7.85,285.3,31.44,32.25,,2.9
"2026-04-07 15:23:31",682,111,94658,41.21366,0.727612,6.05,321.2,31.43,32.25,,3.2
"2026-04-07 15:23:33",692,121,94561,0,,8.15,317.9,31.36,32.25,,3.6
"2026-04-07 15:23:34",696,125,94514,41.213767,0.727492,2.4,345.6,31.34,32.3,,3.7
"2026-04-07 15:23:35",699,128,94481,0,,4.85,331.7,31.33,32.4,,3.9
"2026-04-07 15:23:36",702,131,94448,0,,5.55,271.6,31.35,32.4,,4
"2026-04-07 15:23:37",706,135,94416,41.213797,0.727335,4.35,284.8,31.28,32.4,,4
"2026-04-07 15:23:38",710,139,94367,0,,4.6,264,31.26,32.45,,4
"2026-04-07 15:23:39",715,144,94321,0,,7.4,263.5,31.23,32.5,,4.2
"2026-04-07 15:23:40",719,148,94276,41.213825,0.727132,5.55,294.7,31.25,32.55,,4.3
"2026-04-07 15:23:41",723,152,94235,0,,,,31.19,32.55,,4.2
"2026-04-07 15:23:42",727,156,94192,0,,,,31.19,32.55,,4.1
"2026-04-07 15:23:43",731,160,94150,0,,,,31.18,32.55,,4
"2026-04-07 15:23:44",739,168,94068,0,,5.35,284.7,31.06,32.5,,4.3
"2026-04-07 15:23:45",746,175,93990,0,,5.2,270.5,30.98,32.55,,4.5
"2026-04-07 15:23:46",754,183,93912,41.213885,0.726775,3.95,289.9,30.9,32.6,,4.8
"2026-04-07 15:23:48",766,195,93778,0,,6.15,260.6,30.79,32.75,,5.2
"2026-04-07 15:23:49",773,202,93710,41.2139,0.726585,4.95,263.7,30.76,32.8,,5.4
"2026-04-07 15:23:50",779,208,93647,0,,6.15,299.6,30.6,32.9,,5.7
"2026-04-07 15:23:51",785,214,93585,0,,6.75,277.6,30.54,33,,5.8
"2026-04-07 15:23:52",791,220,93524,41.213945,0.726332,10.05,272.5,30.46,33.15,,5.9
"2026-04-07 15:23:53",797,226,93461,0,,5.95,311.5,30.43,33.25,,6.2
"2026-04-07 15:23:54",803,232,93399,0,,4.25,289.9,30.35,33.35,,6.3
"2026-04-07 15:23:55",809,238,93338,41.214018,0.726133,7.55,284.3,30.32,33.45,43.25,6.5
"2026-04-07 15:23:56",814,243,93285,0,,7.4,306.6,30.32,33.5,,6.4
"2026-04-07 15:23:57",819,248,93229,0,,4.9,281.2,30.32,33.6,,6.2
"2026-04-07 15:23:58",825,254,93174,41.214032,0.725917,7.15,247.1,30.31,33.6,,6.1
"2026-04-07 15:23:59",828,257,93139,0,,7.8,282,30.25,33.65,,5.7
"2026-04-07 15:24:00",831,260,93106,0,,9.45,292.7,30.14,33.65,,5.4
"2026-04-07 15:24:01",834,263,93074,41.214092,0.725663,6.25,281,30.05,33.65,,5.1
"2026-04-07 15:24:02",837,266,93047,0,,,,29.85,33.75,,4.9
"2026-04-07 15:24:03",839,268,93018,0,,,,29.57,33.8,,4.7
"2026-04-07 15:24:04",842,271,92990,0,,,,29.19,34.1,,4.4
"2026-04-07 15:24:05",845,274,92957,0,,6.5,280.4,28.97,34.4,,4.2
"2026-04-07 15:24:06",848,277,92924,0,,8.3,290.1,28.77,34.7,,4
"2026-04-07 15:24:07",852,281,92892,41.214192,0.72517,6.25,277.7,28.59,34.95,,3.8
"2026-04-07 15:24:08",855,284,92854,0,,8.85,290.6,28.4,35.3,,3.4
"2026-04-07 15:24:09",859,288,92819,0,,8.85,295.1,28.32,35.7,,3.3
"2026-04-07 15:24:10",862,291,92784,41.214278,0.724915,7.05,292.1,28.13,36.05,,3.1
"2026-04-07 15:24:11",864,293,92759,0,,6.25,298.3,28.01,36.45,,3.1
"2026-04-07 15:24:12",867,296,92733,0,,4.25,307,27.91,36.75,,3
"2026-04-07 15:24:13",869,298,92708,41.214363,0.724742,5.55,302.4,27.82,37.05,,3
"2026-04-07 15:24:14",871,300,92687,0,,8.4,302.4,27.73,37.3,,2.9
"2026-04-07 15:24:15",873,302,92667,0,,4.3,295,27.65,37.6,,2.8
"2026-04-07 15:24:16",875,304,92648,41.214448,0.724575,5.4,308.7,27.55,37.8,,2.7
"2026-04-07 15:24:17",877,306,92630,0,,6.4,311,27.47,38.05,,2.6
"2026-04-07 15:24:18",878,307,92613,0,,6.4,311,27.41,38.2,,2.5
"2026-04-07 15:24:19",880,309,92596,41.214535,0.724415,5.4,310.1,27.35,38.35,,2.4
"2026-04-07 15:24:20",881,310,92581,0,,,,27.28,38.55,,2.3
"2026-04-07 15:24:21",883,312,92565,0,,,,27.26,38.75,,2.1
"2026-04-07 15:24:22",884,313,92550,0,,,,27.22,38.9,43.25,2
"2026-04-07 15:24:23",886,315,92534,0,,6.7,302.8,27.11,39,,1.8
"2026-04-07 15:24:24",887,316,92519,0,,5.6,291.2,27.03,39.15,,1.7
"2026-04-07 15:24:25",889,318,92504,41.214703,0.724018,7.25,305.3,27.03,39.3,,1.6
"2026-04-07 15:24:26",890,319,92490,0,,7.7,303.4,27.01,39.4,,1.6
"2026-04-07 15:24:27",892,321,92476,0,,4.5,307.5,26.94,39.55,,1.6
"2026-04-07 15:24:28",893,322,92462,41.214807,0.723832,7.55,315.3,26.92,39.6,,1.5
"2026-04-07 15:25:33",1035,464,90988,41.216922,0.71905,8,296.6,25.69,39.3,,2.2
"2026-04-07 15:25:49",1061,490,90717,0,,6.95,293.4,25.36,39.85,,1.6
"2026-04-07 15:25:50",1063,492,90700,0,,7.5,286.7,25.38,39.95,,1.6
"2026-04-07 15:25:51",1065,494,90684,41.217367,0.717625,7.8,295,25.3,40.1,,1.6
"2026-04-07 15:25:52",1066,495,90668,0,,7.4,278.3,25.3,40.2,,1.6
"2026-04-07 15:25:53",1068,497,90653,0,,7.15,290.9,25.31,40.3,,1.6
"2026-04-07 15:25:54",1069,498,90638,41.21743,0.71736,8.45,292.3,25.32,40.4,,1.6
"2026-04-07 15:26:01",1082,511,90502,0,,,,25.34,40.05,,1.7
"2026-04-07 15:26:02",1084,513,90483,0,,,,25.32,40,,1.8
"2026-04-07 15:26:03",1086,515,90464,0,,,,25.4,39.95,,1.8
"2026-04-07 15:26:13",1108,537,90242,0,,8.6,292,25.09,39.9,,2.1
"2026-04-07 15:26:14",1110,539,90220,0,,9.2,291.3,25.02,39.85,,2.1
"2026-04-07 15:26:15",1112,541,90198,41.218012,0.715478,8.25,291.2,25.05,39.8,,2.1
"2026-04-07 15:26:17",1117,546,90146,0,,7.9,293.5,25.08,39.65,,2.2
"2026-04-07 15:26:18",1120,549,90120,41.218088,0.715203,8.35,291.1,25.05,39.6,,2.2
"2026-04-07 15:28:03",1388,817,87416,41.22316,0.70769,7,339.6,25.32,23.05,,2.6
"2026-04-07 15:29:09",1570,999,85614,41.226725,0.7052,7.5,345.6,24.06,20.05,,2.8
