timestamp,msl,agl,pressure,latitude,longitude,speed,heading,temperature,relative_humidity,internal_temperature,rise_speed
"2024-03-07 17:51:37",360,-3,97138,41.378482,0.371032,6.35,122.7,31.55,12.5,,-0.4
"2024-03-07 17:51:38",362,-1,97117,0,,7.45,135.1,31.81,12.4,,-0.2
"2024-03-07 17:51:39",364,0,97095,0,,6.6,118.1,31.86,12.3,,0
"2024-03-07 17:51:40",366,2,97074,41.378382,0.371233,7,110.8,31.94,12.2,,0.2
"2024-03-07 17:51:44",370,6,97021,0,,9.4,117.3,32.4,11.75,,1
"2024-03-07 17:51:45",372,8,97008,0,,10.65,125.3,32.42,11.65,,0.9
"2024-03-07 17:51:46",373,9,96996,41.378132,0.37182,10.15,119.6,32.4,11.55,,0.9
"2024-03-07 17:51:47",375,11,96977,0,,8.8,120.5,32.35,11.55,,1
"2024-03-07 17:51:48",376,12,96958,0,,10.3,120.8,32.32,11.5,,1.3
"2024-03-07 17:51:49",378,14,96940,41.378002,0.372127,10.05,115.8,32.38,11.5,,1.5
"2024-03-07 17:51:50",380,16,96919,0,,9.1,122.7,32.29,11.45,,1.5
"2024-03-07 17:51:51",382,18,96898,0,,10.3,119.7,32.2,11.35,,1.5
"2024-03-07 17:51:52",384,20,96878,41.377875,0.372433,10.35,115.3,32.22,11.35,,1.5
"2024-03-07 17:51:54",386,22,96854,0,,10.05,123.1,32.12,11.25,,1.5
"2024-03-07 17:51:55",387,23,96842,41.37773,0.37274,9,118,32.07,11.3,,1.4
"2024-03-07 17:51:57",391,27,96799,0,,9.5,122.4,31.96,11.3,,1.6
"2024-03-07 17:51:58",393,29,96778,41.377582,0.373033,9.45,118.8,31.88,11.45,35.75,1.6
"2024-03-07 17:51:59",395,31,96759,0,,11.5,124,31.88,11.45,,1.7
"2024-03-07 17:52:00",396,32,96741,0,,9.7,124.8,31.76,11.4,,1.7
"2024-03-07 17:52:01",398,34,96724,41.377428,0.373348,10.5,121.3,31.65,11.4,,1.7
"2024-03-07 17:52:02",400,36,96701,0,,11.55,119.9,31.67,11.45,,1.7
"2024-03-07 17:52:03",402,38,96678,0,,9.1,119.4,31.58,11.5,,1.7
"2024-03-07 17:52:04",404,40,96656,41.377283,0.373667,10.25,128.6,31.62,11.5,,1.7
"2024-03-07 17:52:05",406,42,96638,0,,10.5,128,31.65,11.5,,1.7
"2024-03-07 17:52:06",408,44,96619,0,,10.55,122,31.61,11.5,,1.8
"2024-03-07 17:52:07",410,46,96600,41.377117,0.37397,10.65,127.6,31.59,11.45,,1.9
"2024-03-07 17:52:08",411,47,96587,0,,10.3,125,31.61,11.45,,1.8
"2024-03-07 17:52:09",412,48,96575,0,,12.15,112.9,31.53,11.5,,1.7
"2024-03-07 17:52:10",413,49,96564,41.376965,0.374317,11.7,118.7,31.53,11.5,,1.7
"2024-03-07 17:52:11",415,51,96540,0,,10.85,122.2,31.49,11.55,,1.7
"2024-03-07 17:52:12",417,53,96518,0,,13,120.4,31.47,11.5,,1.7
"2024-03-07 17:52:13",419,55,96496,41.376802,0.374683,11.5,118.9,31.41,11.5,,1.8
"2024-03-07 17:52:14",421,57,96472,0,,11.25,121.8,31.46,11.5,,1.8
"2024-03-07 17:52:15",424,60,96448,0,,13.55,118.4,31.44,11.6,,1.8
"2024-03-07 17:52:16",426,62,96424,41.376642,0.375058,11.6,120.9,31.37,11.6,,1.8
"2024-03-07 17:52:17",429,65,96392,0,,11.45,118.6,31.31,11.55,,1.9
"2024-03-07 17:52:18",432,68,96362,0,,11.95,119.4,31.32,11.55,,2
"2024-03-07 17:52:19",434,70,96332,41.376492,0.375423,11.6,115.7,31.33,11.6,,2.1
"2024-03-07 17:52:20",438,74,96297,0,,11.75,112.5,31.21,11.6,,2.2
"2024-03-07 17:52:21",441,77,96264,0,,11.6,110.1,31.17,11.65,,2.4
"2024-03-07 17:52:22",444,80,96232,41.37637,0.37581,12.25,116.4,31.2,11.65,,2.6
"2024-03-07 17:52:24",451,87,96159,0,,10.95,111.8,31.13,11.65,,2.7
"2024-03-07 17:52:25",454,90,96122,41.37624,0.376183,12.9,123.6,31.12,11.65,36.25,2.8
"2024-03-07 17:52:26",457,93,96085,0,,12.2,113.6,30.99,11.65,,3
"2024-03-07 17:52:27",461,97,96047,0,,9.35,113.6,30.89,11.6,,3
"2024-03-07 17:52:28",464,100,96010,41.3761,0.376553,12.4,117.9,30.98,11.75,,3.1
"2024-03-07 17:52:29",466,102,95989,0,,11.75,113.7,31.08,11.8,,3.1
"2024-03-07 17:52:30",468,104,95969,0,,11.35,120.9,30.99,11.85,,3
"2024-03-07 17:52:31",470,106,95950,41.37595,0.376933,12.95,116.8,30.98,11.85,,3
"2024-03-07 17:52:32",472,108,95933,0,,10.45,116.1,30.93,11.9,,2.9
"2024-03-07 17:52:33",473,109,95915,0,,12.6,116.1,30.78,11.9,,2.8
"2024-03-07 17:52:34",475,111,95898,41.375812,0.37732,13,112.7,30.77,11.9,,2.6
"2024-03-07 17:52:35",478,114,95867,0,,10.75,110.9,30.71,11.95,,2.6
"2024-03-07 17:52:36",481,117,95837,0,,12.95,115.2,30.79,11.95,,2.5
"2024-03-07 17:52:37",483,119,95808,41.375682,0.377718,12.7,115.6,30.96,11.95,,2.4
"2024-03-07 17:52:38",488,124,95761,0,,12,113.2,30.96,11.95,,2.5
"2024-03-07 17:52:39",492,128,95715,0,,13.95,111.9,30.97,11.95,,2.6
"2024-03-07 17:52:40",496,132,95670,41.375537,0.378135,12.2,120.8,30.92,11.95,,2.6
"2024-03-07 17:52:41",499,135,95644,0,,11.7,116.5,30.78,11.8,,2.7
"2024-03-07 17:52:42",501,137,95619,0,,13.55,113.3,30.83,11.95,,2.7
"2024-03-07 17:52:43",503,139,95594,41.375383,0.378535,12,122.2,30.86,11.95,,2.8
"2024-03-07 17:52:44",505,141,95572,0,,12.3,117.1,30.84,11.9,,2.8
"2024-03-07 17:52:45",507,143,95552,0,,12.3,117.1,30.84,11.9,,2.8
"2024-03-07 17:52:46",509,145,95532,41.375233,0.378942,11.35,117.2,30.79,11.9,,2.8
"2024-03-07 17:52:47",512,148,95504,0,,11.95,112.2,30.71,11.85,,2.8
"2024-03-07 17:52:48",514,150,95475,0,,13.05,116.7,30.69,11.85,,2.8
"2024-03-07 17:52:49",517,153,95446,41.375087,0.379333,12.15,124.1,30.63,11.85,,2.8
"2024-03-07 17:52:50",521,157,95406,0,,13.4,114.6,30.64,11.75,,2.9
"2024-03-07 17:52:51",525,161,95368,0,,11.85,114.3,30.57,11.8,,2.8
"2024-03-07 17:52:52",528,164,95330,41.374933,0.379738,13.05,118.4,30.61,11.85,36,2.8
"2024-03-07 17:52:54",535,171,95260,0,,11.45,122.9,30.49,11.85,,2.8
"2024-03-07 17:52:55",538,174,95224,41.374765,0.380135,12.35,116.2,30.4,11.85,,2.9
"2024-03-07 17:52:56",541,177,95190,0,,12.9,112.7,30.3,11.8,,2.9
"2024-03-07 17:52:57",544,180,95158,0,,13.05,116.8,30.28,11.75,,3
"2024-03-07 17:52:58",547,183,95126,41.374628,0.380552,12.15,108.3,30.31,11.85,,3.1
"2024-03-07 17:52:59",550,186,95096,0,,11.7,111.1,30.29,11.9,,3.2
"2024-03-07 17:53:00",553,189,95065,0,,11.7,111.1,30.37,11.9,,3.2
"2024-03-07 17:53:01",556,192,95034,41.37452,0.380965,13.25,102.9,30.31,11.95,,3.2
"2024-03-07 17:53:02",559,195,95005,0,,13.4,108.1,30.31,11.9,,3.2
"2024-03-07 17:53:03",561,197,94977,0,,12,111.1,30.19,11.95,,3.1
"2024-03-07 17:53:04",564,200,94950,41.374412,0.381402,12.5,107.9,30.02,11.95,,3
"2024-03-07 17:53:05",566,202,94926,0,,12.8,115.1,29.96,12,,2.9
"2024-03-07 17:53:06",568,204,94901,0,,12.45,109.7,29.97,12.05,,2.9
"2024-03-07 17:53:07",571,207,94876,41.374288,0.38182,12.05,112,29.86,12.1,,2.8
"2024-03-07 17:53:08",574,210,94846,0,,13.75,114.6,29.92,12.05,,2.7
"2024-03-07 17:53:09",576,212,94818,0,,13.3,106.7,29.79,11.8,,2.7
"2024-03-07 17:53:10",579,215,94790,41.374162,0.382257,12.45,111.7,29.94,12.1,,2.7
"2024-03-07 17:53:11",582,218,94755,0,,11.95,111.4,29.9,12.1,,2.7
"2024-03-07 17:53:12",585,221,94720,0,,13.5,108.2,29.96,12.1,,2.7
"2024-03-07 17:53:13",589,225,94686,41.374043,0.382683,12.6,110.9,29.94,12.1,,2.7
"2024-03-07 17:53:14",591,227,94657,0,,13,109.5,29.84,12.1,,2.7
"2024-03-07 17:53:15",594,230,94628,0,,13.65,108.6,29.86,12.1,,2.7
"2024-03-07 17:53:16",597,233,94600,41.373923,0.383125,12.4,112,29.82,12.1,,2.7
"2024-03-07 17:53:17",599,235,94571,0,,13.6,116.4,29.96,12.1,,2.8
"2024-03-07 17:53:18",602,238,94543,0,,13.35,113.7,29.94,12.05,,2.8
"2024-03-07 17:53:19",605,241,94516,41.373778,0.38356,12.9,109.6,29.87,12.1,35.75,2.8
"2024-03-07 17:53:20",607,243,94492,0,,13.2,120.2,29.84,12.1,,2.8
"2024-03-07 17:53:21",609,245,94468,0,,14,113.6,29.81,12.1,,2.7
"2024-03-07 17:53:22",611,247,94444,41.373618,0.384013,14,112.2,29.92,12,,2.7
"2024-03-07 17:53:24",614,250,94411,0,,14.1,105,29.95,12,,2.5
"2024-03-07 17:53:25",616,252,94396,41.373483,0.384495,14.1,114.5,29.84,12.1,,2.4
"2024-03-07 17:53:26",618,254,94379,0,,13.55,112.9,29.87,12.1,,2.2
"2024-03-07 17:53:27",619,255,94363,0,,13.55,106.2,29.87,12.1,,2.1
"2024-03-07 17:53:28",621,257,94348,41.37335,0.384943,12.3,116.5,29.71,12.1,,2
"2024-03-07 17:53:29",622,258,94331,0,,13.3,112.1,29.5,11.9,,1.9
"2024-03-07 17:53:30",624,260,94315,0,,13.85,107.9,29.56,12,,1.8
"2024-03-07 17:53:31",625,261,94300,41.373218,0.385383,12.15,114.8,29.61,12,,1.7
"2024-03-07 17:53:32",625,261,94296,0,,14.05,107.7,29.58,11.95,,1.5
"2024-03-07 17:53:33",626,262,94292,0,,13.75,110.5,29.74,11.95,,1.4
"2024-03-07 17:53:34",626,262,94288,41.373088,0.385832,12.35,116.7,29.9,11.95,,1.2
"2024-03-07 17:53:35",628,264,94265,0,,13,108.9,29.9,11.95,,1.3
"2024-03-07 17:53:36",630,266,94243,0,,12.75,112.2,29.81,11.85,,1.3
"2024-03-07 17:53:37",632,268,94222,41.372953,0.386265,13.05,116.3,29.81,11.85,,1.4
"2024-03-07 17:53:38",634,270,94207,0,,14.4,109.5,29.66,11.9,,1.4
"2024-03-07 17:53:39",635,271,94192,0,,12.25,108.9,29.58,11.9,,1.4
"2024-03-07 17:53:40",637,273,94178,41.372832,0.386712,13.05,109,29.54,11.95,,1.4
"2024-03-07 17:53:41",638,274,94160,0,,13.85,105.8,29.53,11.9,,1.4
"2024-03-07 17:53:42",640,276,94143,0,,12.05,111,29.41,12.05,,1.4
"2024-03-07 17:53:43",642,278,94126,41.372717,0.38716,14.25,111.1,29.34,12.1,,1.4
"2024-03-07 17:53:44",643,279,94113,0,,13.55,108.2,29.31,12.1,,1.4
"2024-03-07 17:53:45",644,280,94099,0,,13.1,111.8,29.35,12.1,,1.4
"2024-03-07 17:53:46",645,281,94086,41.37259,0.387625,15,108.5,29.36,12.1,35.5,1.5
"2024-03-07 17:53:47",647,283,94069,0,,13.25,113.2,29.35,12.15,,1.6
"2024-03-07 17:53:48",648,284,94053,0,,13.75,115.8,29.38,12.15,,1.5
"2024-03-07 17:53:49",650,286,94038,41.372442,0.388083,14.65,113.7,29.28,12.1,,1.5
"2024-03-07 17:53:51",653,289,94008,0,,13.1,111.5,29.49,12.15,,1.4
"2024-03-07 17:53:52",654,290,93994,41.372297,0.388535,13.2,108.3,29.45,12.1,,1.4
"2024-03-07 17:53:55",658,294,93952,41.372168,0.388988,14.8,112.5,29.45,12.05,,1.4
"2024-03-07 17:53:57",661,297,93921,0,,13.45,109.1,29.29,12,,1.4
