timestamp,msl,agl,pressure,latitude,longitude,speed,heading,temperature,relative_humidity,internal_temperature,rise_speed
"2023-05-07 15:09:41",290,1,97716,41.741418,1.889613,0.05,2.6,37.18,26.5,,-0.1
"2023-05-07 15:09:42",291,2,97705,0,,,,37.17,26,,-0.1
"2023-05-07 15:09:43",292,3,97694,0,,,,37.18,25.4,,0
"2023-05-07 15:09:44",293,4,97684,0,,,,37.33,25.1,,0.1
"2023-05-07 15:09:45",296,7,97656,0,,,9.1,37.53,24.9,,0.3
"2023-05-07 15:09:46",298,9,97630,0,,,9.1,37.66,24.65,,0.5
"2023-05-07 15:09:47",301,12,97604,41.74148,1.8896,2.7,234.4,37.74,24.3,37.25,0.7
"2023-05-07 15:09:48",301,12,97601,0,,1.1,117,37.85,24.15,,0.7
"2023-05-07 15:09:49",301,12,97598,0,,5.75,34.4,37.93,24,,0.7
"2023-05-07 15:09:50",302,13,97596,41.741558,1.889678,2.55,10.2,38,23.9,,0.6
"2023-05-07 15:09:51",302,13,97589,0,,3.95,27.3,38.04,23.75,,0.9
"2023-05-07 15:09:52",303,14,97583,0,,3.05,243.5,38.09,23.7,,1
"2023-05-07 15:09:53",303,14,97578,41.741555,1.889655,4.3,0.9,38.03,23.55,,1.1
"2023-05-07 15:09:54",303,14,97576,0,,3.7,136.7,37.97,23.45,,1
"2023-05-07 15:09:55",304,15,97574,0,,3.7,136.7,37.93,23.4,,0.9
"2023-05-07 15:09:56",304,15,97572,41.741547,1.889687,1.15,322.7,37.88,23.45,,0.9
"2023-05-07 15:09:57",306,17,97545,0,,2.05,120.2,37.8,23.5,,0.9
"2023-05-07 15:09:58",309,20,97519,0,,3.95,346,37.84,23.6,,0.9
"2023-05-07 15:09:59",311,22,97494,41.74166,1.889735,8.25,355.8,37.97,23.7,,0.9
"2023-05-07 15:10:00",316,27,97448,0,,7.85,64.7,38.23,23.75,,1.2
"2023-05-07 15:10:01",320,31,97400,0,,4.2,45.3,38.54,23.8,,1.6
"2023-05-07 15:10:02",325,36,97352,41.741828,1.889897,7.55,54.4,38.86,23.7,,1.9
"2023-05-07 15:10:03",328,39,97318,0,,12.6,9.1,39.19,23.55,,2.1
"2023-05-07 15:10:04",331,42,97286,0,,7.95,30.1,39.55,23.3,,2.3
"2023-05-07 15:10:05",334,45,97254,41.74209,1.890002,9.05,2.4,39.78,23,,2.6
"2023-05-07 15:10:06",340,51,97195,0,,13.75,29.3,40.07,22.8,,3
"2023-05-07 15:10:07",344,55,97144,0,,10.15,0.1,40.21,22.5,,3.3
"2023-05-07 15:10:08",349,60,97094,41.742368,1.890093,12,15,40.39,22.35,,3.7
"2023-05-07 15:10:09",354,65,97047,0,,8.95,14.6,40.61,22.15,,3.8
"2023-05-07 15:10:10",359,70,96988,0,,11.9,14.3,40.67,21.9,,4.1
"2023-05-07 15:10:11",365,76,96930,41.742638,1.8902,10.3,13,40.64,21.75,,4.3
"2023-05-07 15:10:13",376,87,96812,0,,8.35,15.6,40.67,21.6,,4.7
"2023-05-07 15:10:14",382,93,96754,41.742862,1.890307,9.2,15.2,40.7,21.55,38.5,4.8
"2023-05-07 15:10:15",390,101,96672,0,,8.5,22.9,40.69,21.55,,5
"2023-05-07 15:10:16",397,108,96590,0,,8,354.7,40.63,21.45,,5.4
"2023-05-07 15:10:17",405,116,96508,41.743062,1.890398,7,36.6,40.63,21.5,,5.8
"2023-05-07 15:10:18",416,127,96399,0,,10.85,10.2,40.62,21.5,,6.3
"2023-05-07 15:10:19",426,137,96295,0,,9.6,29.7,40.58,21.45,,6.7
"2023-05-07 15:10:20",436,147,96192,41.743272,1.890538,7.9,19.3,40.53,21.5,,7.1
"2023-05-07 15:10:22",453,164,96016,0,,9,10.1,40.11,21.4,,7.8
"2023-05-07 15:10:23",461,172,95926,41.743467,1.890692,9.9,47.5,39.87,21.4,,8
"2023-05-07 15:10:24",471,182,95825,0,,7.1,4.2,39.6,21.5,,8.1
