timestamp,msl,agl,pressure,latitude,longitude,speed,heading,temperature,relative_humidity,internal_temperature,rise_speed
"2024-11-08 18:58:30",107,-7,96116,38.122283,23.894248,0,47.7,26.38,44.65,,0
"2024-11-08 18:58:31",108,-6,96103,0,,0.05,47.7,26.39,44.55,,0.1
"2024-11-08 18:58:32",109,-5,96091,0,,0.05,47.7,26.4,44.45,,0.2
"2024-11-08 18:58:33",110,-4,96080,38.122282,23.894248,0.25,45.1,26.42,44.4,,0.2
"2024-11-08 18:58:34",111,-3,96072,0,,1.8,151.5,26.43,44.3,,0.3
"2024-11-08 18:58:35",112,-2,96065,0,,4.5,188.6,26.43,44.25,,0.3
"2024-11-08 18:58:36",112,-2,96058,38.12223,23.894248,0.3,44.3,26.45,44.15,,0.4
"2024-11-08 18:58:38",116,1,96023,0,,4.95,178.5,26.48,44.05,,0.7
"2024-11-08 18:58:39",117,2,96006,38.122162,23.89428,0.6,222.1,26.52,44,31,0.8
"2024-11-08 18:58:40",120,5,95979,0,,1.3,144.7,26.53,43.95,,1
"2024-11-08 18:58:41",122,7,95951,0,,4.4,148.8,26.54,43.85,,1.3
"2024-11-08 18:58:42",125,10,95924,38.122088,23.894323,3.9,167.8,26.55,43.8,,1.5
"2024-11-08 18:58:44",131,16,95856,0,,4,158,26.56,43.75,,1.8
"2024-11-08 18:58:45",134,19,95824,38.121978,23.894353,5.8,168.3,26.56,43.7,,2
"2024-11-08 18:58:46",136,21,95804,0,,4.25,179.5,26.55,43.7,,2
"2024-11-08 18:58:47",138,23,95784,0,,3,189,26.54,43.65,,2.1
"2024-11-08 18:58:48",140,25,95764,38.121862,23.894353,5.6,187.2,26.53,43.65,,2.1
"2024-11-08 18:58:49",142,27,95736,0,,2.75,180.3,26.52,43.65,,2.3
"2024-11-08 18:58:50",145,30,95710,0,,3.8,194.6,26.5,43.65,,2.4
"2024-11-08 18:58:51",147,32,95684,38.121757,23.894347,5.25,167.1,26.49,43.65,,2.5
