timestamp,msl,agl,pressure,latitude,longitude,speed,heading,temperature,relative_humidity,internal_temperature,rise_speed
"2024-09-08 16:35:00",330,-1,98126,41.898028,1.05501,1.95,3.3,37.42,34.05,,0
"2024-09-08 16:35:01",332,0,98109,0,,3.6,353.8,37.26,34.1,,0.1
"2024-09-08 16:35:02",333,1,98092,0,,2.95,49.3,37.14,34.2,,0.2
"2024-09-08 16:35:03",335,3,98076,41.898097,1.055037,2.15,350,37.09,34.35,,0.2
"2024-09-08 16:35:04",337,5,98052,0,,3.9,16.7,36.96,34.45,,0.3
"2024-09-08 16:35:05",339,7,98028,0,,2,3.3,36.84,34.6,,0.4
"2024-09-08 16:35:06",342,10,98004,41.898165,1.055058,2.45,24.9,36.74,34.8,,0.9
"2024-09-08 16:35:08",346,14,97959,0,,2.5,12.6,36.58,35.05,,1.2
"2024-09-08 16:35:09",348,16,97938,41.898245,1.055115,3.3,46.7,36.53,35.1,44,1.3
"2024-09-08 16:35:10",350,18,97910,0,,4.4,32.9,36.49,35.1,,1.5
"2024-09-08 16:35:11",353,21,97883,0,,4.4,32.9,36.41,35.1,,1.9
"2024-09-08 16:35:12",356,24,97856,41.898312,1.055198,3.95,42.7,36.4,35.1,,2.1
"2024-09-08 16:35:13",358,26,97827,0,,4.1,38.6,36.35,35.15,,2.2
"2024-09-08 16:35:14",361,29,97796,0,,3.55,67.3,36.33,35.15,,2.3
"2024-09-08 16:35:15",364,32,97766,41.898382,1.0553,3.95,30.4,36.32,35.2,,2.4
"2024-09-08 16:35:16",367,35,97737,0,,3.5,39.5,36.28,35.2,,2.5
"2024-09-08 16:35:17",369,37,97710,0,,4.75,56.1,36.26,35.25,,2.5
"2024-09-08 16:35:18",372,40,97684,41.898455,1.055402,2.9,49,36.25,35.25,,2.5
"2024-09-08 16:35:19",374,42,97656,0,,2.7,40.8,36.22,35.25,,2.5
"2024-09-08 16:35:20",377,45,97628,0,,3,17.6,36.19,35.3,,2.5
"2024-09-08 16:35:21",380,48,97600,41.898525,1.055465,5.25,40.5,36.13,35.35,,2.6
"2024-09-08 16:35:22",382,50,97571,0,,3.45,39.6,36.08,35.4,,2.7
"2024-09-08 16:35:23",385,53,97543,0,,2,5,36.03,35.45,,2.7
"2024-09-08 16:35:24",387,55,97516,41.898588,1.055522,1.65,49.9,36,35.45,,2.7
"2024-09-08 16:35:25",389,57,97500,0,,5.75,36.3,36.02,35.5,,2.6
"2024-09-08 16:35:26",390,58,97484,0,,4.45,36.7,35.99,35.5,,2.4
"2024-09-08 16:35:27",392,60,97468,41.898678,1.05562,3.35,34.3,35.94,35.5,,2.3
"2024-09-08 16:35:28",393,61,97455,0,,4.9,37.7,35.93,35.45,,2.2
"2024-09-08 16:35:29",394,62,97442,0,,3.65,36.9,35.91,35.55,,2.1
"2024-09-08 16:35:30",396,64,97430,41.898772,1.055713,4.3,35.9,35.88,35.55,,2
"2024-09-08 16:35:31",397,65,97416,0,,5.25,46.1,35.87,35.65,,1.9
"2024-09-08 16:35:32",398,66,97402,0,,3.3,23.2,35.84,35.75,,1.8
"2024-09-08 16:35:33",399,67,97388,41.898865,1.055812,4.9,36.2,35.79,35.8,,1.7
"2024-09-08 16:35:34",401,69,97374,0,,4.8,46.2,35.78,35.85,,1.6
"2024-09-08 16:35:35",402,70,97361,0,,4.45,21.2,35.78,35.9,,1.5
"2024-09-08 16:35:36",403,71,97348,41.898968,1.055913,4.85,46.4,35.75,35.9,43,1.4
"2024-09-08 16:35:37",404,72,97336,0,,4.2,32.2,35.76,35.9,,1.3
"2024-09-08 16:35:38",405,73,97325,0,,5,24.5,35.81,35.9,,1.3
"2024-09-08 16:35:39",406,74,97314,41.899075,1.056015,5.3,49,35.81,35.9,,1.2
"2024-09-08 16:35:40",407,75,97304,0,,5.4,20.8,35.79,35.9,,1.2
"2024-09-08 16:35:41",408,76,97294,0,,5.15,46.7,35.78,35.9,,1.2
"2024-09-08 16:35:42",409,77,97284,41.899193,1.056125,5.35,27.6,35.74,35.9,,1.1
"2024-09-08 16:35:44",412,80,97253,0,,4.75,45.9,35.72,35.95,,1.2
"2024-09-08 16:35:45",414,82,97238,41.899302,1.056235,5.75,29.2,35.71,35.95,,1.2
"2024-09-08 16:35:46",415,83,97226,0,,4.15,53.3,35.67,35.95,,1.2
"2024-09-08 16:35:47",416,84,97215,0,,4.55,39.3,35.65,36,,1.1
"2024-09-08 16:35:48",417,85,97204,41.899405,1.056345,5.75,25.8,35.64,36.05,,1.1
"2024-09-08 16:35:49",417,85,97196,0,,5.55,49.3,35.62,36.05,,1.1
"2024-09-08 16:35:50",418,86,97188,0,,4.35,49.3,35.59,36.1,,1.1
"2024-09-08 16:35:51",419,87,97180,41.899503,1.056462,4.55,23.2,35.58,36.1,,1.1
"2024-09-08 16:35:52",420,88,97166,0,,5.25,53.9,35.58,36.1,,1.1
"2024-09-08 16:35:53",421,89,97154,0,,4.9,24.7,35.55,36.15,,1.1
"2024-09-08 16:35:54",423,91,97142,41.899607,1.056573,5.05,49.9,35.55,36.15,,1.1
"2024-09-08 16:35:55",424,92,97132,0,,5.4,49.2,35.51,36.1,,1.1
"2024-09-08 16:35:56",424,92,97123,0,,5.95,28.2,35.49,36.1,,1.1
"2024-09-08 16:35:57",425,93,97114,41.899718,1.056705,5.05,44.8,35.49,36.15,,1
"2024-09-08 16:35:59",427,95,97094,0,,6.15,28.7,35.43,36.2,,1
"2024-09-08 16:36:00",428,96,97084,41.89983,1.056822,5.7,49.3,35.41,36.2,,1
"2024-09-08 16:36:01",428,96,97081,0,,4.6,18.2,35.4,36.2,,0.9
"2024-09-08 16:36:02",429,97,97078,0,,6.1,35.9,35.39,36.2,,0.9
"2024-09-08 16:36:03",429,97,97076,41.899952,1.05693,5.8,37.8,35.37,36.2,43,0.8
"2024-09-08 16:36:04",430,98,97065,0,,3.65,32.8,35.35,36.3,,0.8
"2024-09-08 16:36:05",431,99,97054,0,,5.85,40.5,35.34,36.35,,0.8
"2024-09-08 16:36:06",432,100,97044,41.900055,1.057042,4.25,46.4,35.33,36.35,,0.8
"2024-09-08 16:36:07",432,100,97038,0,,4.8,38.9,35.34,36.35,,0.7
"2024-09-08 16:36:08",433,101,97033,0,,5.6,38.8,35.33,36.35,,0.7
"2024-09-08 16:36:09",433,101,97028,41.900148,1.057155,2.85,52.3,35.31,36.4,,0.7
"2024-09-08 16:36:10",434,102,97021,0,,4.8,34,35.32,36.45,,0.7
"2024-09-08 16:36:11",435,103,97014,0,,4,47.3,35.33,36.45,,0.6
"2024-09-08 16:36:12",435,103,97008,41.900222,1.057252,2.9,44.8,35.29,36.5,,0.6
"2024-09-08 16:36:14",438,106,96981,0,,3.6,50.1,35.25,36.5,,0.7
"2024-09-08 16:36:15",439,107,96968,41.900303,1.057362,4.55,31.8,35.21,36.5,,0.8
"2024-09-08 16:36:16",440,108,96955,0,,5,46.3,35.2,36.5,,0.9
"2024-09-08 16:36:17",441,109,96943,0,,4.4,23.8,35.19,36.55,,0.9
"2024-09-08 16:36:18",442,110,96932,41.900405,1.057463,5.85,39.2,35.22,36.65,,0.9
"2024-09-08 16:36:19",443,111,96925,0,,4.25,35.5,35.21,36.7,,0.9
"2024-09-08 16:36:20",444,112,96919,0,,4.85,32.3,35.2,36.75,,0.9
